noise_type,inital_noise,noisy_rate,mean,std
instance,0.01,0.1,0.3873333333333333,0.012978614889287882
instance,0.01,0.2,0.4129333333333333,0.006824791409103849
instance,0.01,0.3,0.44399999999999995,0.01007747763855398
instance,0.01,0.4,0.4761333333333333,0.00907254711264213
instance,0.01,0.5,0.4984,0.007536577472566716
instance,0.01,0.6,0.5238666666666667,0.009072547112642146
instance,0.01,0.7000000000000001,0.556,0.010077477638553963
instance,0.01,0.8,0.5870666666666666,0.006824791409103869
instance,0.01,0.9,0.6126666666666667,0.012978614889287914
instance,0.2,0.1,0.4221333333333333,0.017252375037786635
instance,0.2,0.2,0.44159999999999994,0.013043516908155283
instance,0.2,0.3,0.4636,0.012706953477000944
instance,0.2,0.4,0.488,0.010934146311237828
instance,0.2,0.5,0.4984,0.007536577472566716
instance,0.2,0.6,0.512,0.0109341463112378
instance,0.2,0.7000000000000001,0.5364,0.012706953477000925
instance,0.2,0.8,0.5584,0.013043516908155306
instance,0.2,0.9,0.5778666666666666,0.01725237503778662
instance,0.4,0.1,0.4749333333333333,0.015603418428878536
instance,0.4,0.2,0.48213333333333336,0.012305373713228806
instance,0.4,0.3,0.4953333333333333,0.013605554421305711
instance,0.4,0.4,0.5064,0.007551305994476876
instance,0.4,0.5,0.4984,0.007536577472566716
instance,0.4,0.6,0.4936,0.007551305994476863
instance,0.4,0.7000000000000001,0.5046666666666667,0.013605554421305718
instance,0.4,0.8,0.5178666666666667,0.012305373713228818
instance,0.4,0.9,0.5250666666666667,0.01560341842887858
pair,0.01,0.1,0.3698666666666666,0.007607014306984481
pair,0.01,0.2,0.3984,0.005155363981114997
pair,0.01,0.3,0.43213333333333337,0.005151051672555182
pair,0.01,0.4,0.46453333333333335,0.009361861163489055
pair,0.01,0.5,0.4993333333333333,0.007615773105863947
pair,0.01,0.6,0.5354666666666666,0.009361861163489062
pair,0.01,0.7000000000000001,0.5678666666666666,0.005151051672555131
pair,0.01,0.8,0.6016,0.005155363981115036
pair,0.01,0.9,0.6301333333333334,0.0076070143069845355
pair,0.2,0.1,0.42160000000000003,0.01077651768120544
pair,0.2,0.2,0.43999999999999995,0.00946337971105227
pair,0.2,0.3,0.4689333333333333,0.009962150593343025
pair,0.2,0.4,0.4882666666666666,0.010334408546211055
pair,0.2,0.5,0.4993333333333333,0.007615773105863947
pair,0.2,0.6,0.5117333333333333,0.010334408546211074
pair,0.2,0.7000000000000001,0.5310666666666666,0.009962150593343032
pair,0.2,0.8,0.5599999999999999,0.009463379711052225
pair,0.2,0.9,0.5784,0.010776517681205414
pair,0.4,0.1,0.47906666666666664,0.007952637577838208
pair,0.4,0.2,0.48439999999999994,0.014806905295990906
pair,0.4,0.3,0.496,0.015755069730795303
pair,0.4,0.4,0.5017333333333334,0.012846097548369415
pair,0.4,0.5,0.4993333333333333,0.007615773105863947
pair,0.4,0.6,0.4982666666666667,0.012846097548369417
pair,0.4,0.7000000000000001,0.504,0.015755069730795292
pair,0.4,0.8,0.5156,0.014806905295990944
pair,0.4,0.9,0.5209333333333334,0.007952637577838177
sym,0.01,0.1,0.3698666666666666,0.007607014306984481
sym,0.01,0.2,0.3984,0.005155363981114997
sym,0.01,0.3,0.43213333333333337,0.005151051672555182
sym,0.01,0.4,0.46453333333333335,0.009361861163489055
sym,0.01,0.5,0.4993333333333333,0.007615773105863947
sym,0.01,0.6,0.5354666666666666,0.009361861163489062
sym,0.01,0.7000000000000001,0.5678666666666666,0.005151051672555131
sym,0.01,0.8,0.6016,0.005155363981115036
sym,0.01,0.9,0.6301333333333334,0.0076070143069845355
sym,0.2,0.1,0.42160000000000003,0.01077651768120544
sym,0.2,0.2,0.43999999999999995,0.00946337971105227
sym,0.2,0.3,0.4689333333333333,0.009962150593343025
sym,0.2,0.4,0.4882666666666666,0.010334408546211055
sym,0.2,0.5,0.4993333333333333,0.007615773105863947
sym,0.2,0.6,0.5117333333333333,0.010334408546211074
sym,0.2,0.7000000000000001,0.5310666666666666,0.009962150593343032
sym,0.2,0.8,0.5599999999999999,0.009463379711052225
sym,0.2,0.9,0.5784,0.010776517681205414
sym,0.4,0.1,0.47906666666666664,0.007952637577838208
sym,0.4,0.2,0.48439999999999994,0.014806905295990906
sym,0.4,0.3,0.496,0.015755069730795303
sym,0.4,0.4,0.5017333333333334,0.012846097548369415
sym,0.4,0.5,0.4993333333333333,0.007615773105863947
sym,0.4,0.6,0.4982666666666667,0.012846097548369417
sym,0.4,0.7000000000000001,0.504,0.015755069730795292
sym,0.4,0.8,0.5156,0.014806905295990944
sym,0.4,0.9,0.5209333333333334,0.007952637577838177
