noisy_rate,error_rate,dataset,noise_type,causal,inital_noise,seed,num_classes,is_balanced,class_dist
0.1,0.50045,xyguassian,instance,1,0.3,1,2,True,"[(0.0, 0.52), (1.0, 0.48), (0.0, 0.51), (1.0, 0.49), (0.0, 0.51), (1.0, 0.49), (0.0, 0.52), (1.0, 0.48), (0.0, 0.51), (1.0, 0.49), (1.0, 0.49), (0.0, 0.51), (0.0, 0.51), (1.0, 0.49), (1.0, 0.49), (0.0, 0.51), (0.0, 0.5), (1.0, 0.5)]"
0.15000000000000002,0.50015,xyguassian,instance,1,0.3,1,2,True,"[(0.0, 0.52), (1.0, 0.48), (0.0, 0.51), (1.0, 0.49), (0.0, 0.51), (1.0, 0.49), (0.0, 0.52), (1.0, 0.48), (0.0, 0.51), (1.0, 0.49), (1.0, 0.49), (0.0, 0.51), (0.0, 0.51), (1.0, 0.49), (1.0, 0.49), (0.0, 0.51), (0.0, 0.5), (1.0, 0.5)]"
0.20000000000000004,0.49825,xyguassian,instance,1,0.3,1,2,True,"[(0.0, 0.52), (1.0, 0.48), (0.0, 0.51), (1.0, 0.49), (0.0, 0.51), (1.0, 0.49), (0.0, 0.52), (1.0, 0.48), (0.0, 0.51), (1.0, 0.49), (1.0, 0.49), (0.0, 0.51), (0.0, 0.51), (1.0, 0.49), (1.0, 0.49), (0.0, 0.51), (0.0, 0.5), (1.0, 0.5)]"
0.25000000000000006,0.5003,xyguassian,instance,1,0.3,1,2,True,"[(0.0, 0.52), (1.0, 0.48), (0.0, 0.51), (1.0, 0.49), (0.0, 0.51), (1.0, 0.49), (0.0, 0.52), (1.0, 0.48), (0.0, 0.51), (1.0, 0.49), (1.0, 0.49), (0.0, 0.51), (0.0, 0.51), (1.0, 0.49), (1.0, 0.49), (0.0, 0.51), (0.0, 0.5), (1.0, 0.5)]"
0.30000000000000004,0.50455,xyguassian,instance,1,0.3,1,2,True,"[(0.0, 0.52), (1.0, 0.48), (0.0, 0.51), (1.0, 0.49), (0.0, 0.51), (1.0, 0.49), (0.0, 0.52), (1.0, 0.48), (0.0, 0.51), (1.0, 0.49), (1.0, 0.49), (0.0, 0.51), (0.0, 0.51), (1.0, 0.49), (1.0, 0.49), (0.0, 0.51), (0.0, 0.5), (1.0, 0.5)]"
0.3500000000000001,0.492,xyguassian,instance,1,0.3,1,2,True,"[(0.0, 0.52), (1.0, 0.48), (0.0, 0.51), (1.0, 0.49), (0.0, 0.51), (1.0, 0.49), (0.0, 0.52), (1.0, 0.48), (0.0, 0.51), (1.0, 0.49), (1.0, 0.49), (0.0, 0.51), (0.0, 0.51), (1.0, 0.49), (1.0, 0.49), (0.0, 0.51), (0.0, 0.5), (1.0, 0.5)]"
0.40000000000000013,0.4993,xyguassian,instance,1,0.3,1,2,True,"[(0.0, 0.52), (1.0, 0.48), (0.0, 0.51), (1.0, 0.49), (0.0, 0.51), (1.0, 0.49), (0.0, 0.52), (1.0, 0.48), (0.0, 0.51), (1.0, 0.49), (1.0, 0.49), (0.0, 0.51), (0.0, 0.51), (1.0, 0.49), (1.0, 0.49), (0.0, 0.51), (0.0, 0.5), (1.0, 0.5)]"
0.45000000000000007,0.50255,xyguassian,instance,1,0.3,1,2,True,"[(0.0, 0.52), (1.0, 0.48), (0.0, 0.51), (1.0, 0.49), (0.0, 0.51), (1.0, 0.49), (0.0, 0.52), (1.0, 0.48), (0.0, 0.51), (1.0, 0.49), (1.0, 0.49), (0.0, 0.51), (0.0, 0.51), (1.0, 0.49), (1.0, 0.49), (0.0, 0.51), (0.0, 0.5), (1.0, 0.5)]"
0.5000000000000001,0.50455,xyguassian,instance,1,0.3,1,2,True,"[(0.0, 0.52), (1.0, 0.48), (0.0, 0.51), (1.0, 0.49), (0.0, 0.51), (1.0, 0.49), (0.0, 0.52), (1.0, 0.48), (0.0, 0.51), (1.0, 0.49), (1.0, 0.49), (0.0, 0.51), (0.0, 0.51), (1.0, 0.49), (1.0, 0.49), (0.0, 0.51), (0.0, 0.5), (1.0, 0.5)]"
0.1,0.50125,xyguassian,instance,1,0.3,2,2,True,"[(1.0, 0.48), (0.0, 0.52), (0.0, 0.52), (1.0, 0.48), (0.0, 0.52), (1.0, 0.48), (1.0, 0.49), (0.0, 0.51), (0.0, 0.51), (1.0, 0.49), (1.0, 0.49), (0.0, 0.51), (0.0, 0.51), (1.0, 0.49), (0.0, 0.51), (1.0, 0.49), (1.0, 0.5), (0.0, 0.5)]"
