noisy_rate,error_rate,dataset,noise_type,causal,inital_noise,seed
0.1,0.501,xyguassian,instance,1,0.4,1
0.2,0.5021,xyguassian,instance,1,0.4,1
0.30000000000000004,0.50105,xyguassian,instance,1,0.4,1
0.4,0.5026,xyguassian,instance,1,0.4,1
0.5,0.49975,xyguassian,instance,1,0.4,1
0.6,0.4974,xyguassian,instance,1,0.4,1
0.7000000000000001,0.49895,xyguassian,instance,1,0.4,1
0.8,0.4979,xyguassian,instance,1,0.4,1
0.9,0.499,xyguassian,instance,1,0.4,1
0.1,0.49925,xyguassian,instance,1,0.6,1
0.2,0.49945,xyguassian,instance,1,0.6,1
0.30000000000000004,0.5029,xyguassian,instance,1,0.6,1
0.4,0.50525,xyguassian,instance,1,0.6,1
0.5,0.49975,xyguassian,instance,1,0.6,1
0.6,0.49475,xyguassian,instance,1,0.6,1
0.7000000000000001,0.4971,xyguassian,instance,1,0.6,1
0.8,0.50055,xyguassian,instance,1,0.6,1
0.9,0.50075,xyguassian,instance,1,0.6,1
0.1,0.5007,xyguassian,instance,1,0.4,2
0.2,0.50065,xyguassian,instance,1,0.4,2
0.30000000000000004,0.50255,xyguassian,instance,1,0.4,2
0.4,0.50265,xyguassian,instance,1,0.4,2
0.5,0.50225,xyguassian,instance,1,0.4,2
0.6,0.49735,xyguassian,instance,1,0.4,2
0.7000000000000001,0.49745,xyguassian,instance,1,0.4,2
0.8,0.49935,xyguassian,instance,1,0.4,2
0.9,0.4993,xyguassian,instance,1,0.4,2
0.1,0.4996,xyguassian,instance,1,0.6,2
0.2,0.50045,xyguassian,instance,1,0.6,2
0.30000000000000004,0.50545,xyguassian,instance,1,0.6,2
0.4,0.50625,xyguassian,instance,1,0.6,2
0.5,0.50225,xyguassian,instance,1,0.6,2
0.6,0.49375,xyguassian,instance,1,0.6,2
0.7000000000000001,0.49455,xyguassian,instance,1,0.6,2
0.8,0.49955,xyguassian,instance,1,0.6,2
0.9,0.5004,xyguassian,instance,1,0.6,2
0.1,0.4985,xyguassian,instance,1,0.4,3
0.2,0.4962,xyguassian,instance,1,0.4,3
0.30000000000000004,0.49925,xyguassian,instance,1,0.4,3
0.4,0.50165,xyguassian,instance,1,0.4,3
0.5,0.4932,xyguassian,instance,1,0.4,3
0.6,0.49835,xyguassian,instance,1,0.4,3
0.7000000000000001,0.50075,xyguassian,instance,1,0.4,3
0.8,0.5038,xyguassian,instance,1,0.4,3
0.9,0.5015,xyguassian,instance,1,0.4,3
0.1,0.50015,xyguassian,instance,1,0.6,3
0.2,0.50005,xyguassian,instance,1,0.6,3
0.30000000000000004,0.5035,xyguassian,instance,1,0.6,3
0.4,0.5052,xyguassian,instance,1,0.6,3
0.5,0.4932,xyguassian,instance,1,0.6,3
0.6,0.4948,xyguassian,instance,1,0.6,3
0.7000000000000001,0.4965,xyguassian,instance,1,0.6,3
0.8,0.49995,xyguassian,instance,1,0.6,3
0.9,0.49985,xyguassian,instance,1,0.6,3
0.1,0.4963,xyguassian,instance,1,0.4,4
0.2,0.50035,xyguassian,instance,1,0.4,4
0.30000000000000004,0.5009,xyguassian,instance,1,0.4,4
0.4,0.5014,xyguassian,instance,1,0.4,4
0.5,0.50375,xyguassian,instance,1,0.4,4
0.6,0.4986,xyguassian,instance,1,0.4,4
0.7000000000000001,0.4991,xyguassian,instance,1,0.4,4
0.8,0.49965,xyguassian,instance,1,0.4,4
0.9,0.5037,xyguassian,instance,1,0.4,4
0.1,0.4968,xyguassian,instance,1,0.6,4
0.2,0.49735,xyguassian,instance,1,0.6,4
0.30000000000000004,0.4969,xyguassian,instance,1,0.6,4
0.4,0.4957,xyguassian,instance,1,0.6,4
0.5,0.50375,xyguassian,instance,1,0.6,4
0.6,0.5043,xyguassian,instance,1,0.6,4
0.7000000000000001,0.5031,xyguassian,instance,1,0.6,4
0.8,0.50265,xyguassian,instance,1,0.6,4
0.9,0.5032,xyguassian,instance,1,0.6,4
0.1,0.49475,xyguassian,instance,1,0.4,5
0.2,0.49655,xyguassian,instance,1,0.4,5
0.30000000000000004,0.49735,xyguassian,instance,1,0.4,5
0.4,0.4954,xyguassian,instance,1,0.4,5
0.5,0.49605,xyguassian,instance,1,0.4,5
0.6,0.5046,xyguassian,instance,1,0.4,5
0.7000000000000001,0.50265,xyguassian,instance,1,0.4,5
0.8,0.50345,xyguassian,instance,1,0.4,5
0.9,0.50525,xyguassian,instance,1,0.4,5
0.1,0.49155,xyguassian,instance,1,0.6,5
0.2,0.49435,xyguassian,instance,1,0.6,5
0.30000000000000004,0.49935,xyguassian,instance,1,0.6,5
0.4,0.4954,xyguassian,instance,1,0.6,5
0.5,0.49605,xyguassian,instance,1,0.6,5
0.6,0.5046,xyguassian,instance,1,0.6,5
0.7000000000000001,0.50065,xyguassian,instance,1,0.6,5
0.8,0.50565,xyguassian,instance,1,0.6,5
0.9,0.50845,xyguassian,instance,1,0.6,5
0.1,0.5018,xyguassian,pair,1,0.4,1
0.2,0.5039,xyguassian,pair,1,0.4,1
0.30000000000000004,0.50005,xyguassian,pair,1,0.4,1
0.4,0.5005,xyguassian,pair,1,0.4,1
0.5,0.4951,xyguassian,pair,1,0.4,1
0.6,0.4995,xyguassian,pair,1,0.4,1
0.7000000000000001,0.49995,xyguassian,pair,1,0.4,1
0.8,0.4961,xyguassian,pair,1,0.4,1
0.9,0.4982,xyguassian,pair,1,0.4,1
0.1,0.5018,xyguassian,pair,1,0.6,1
0.2,0.5039,xyguassian,pair,1,0.6,1
0.30000000000000004,0.50005,xyguassian,pair,1,0.6,1
0.4,0.5005,xyguassian,pair,1,0.6,1
0.5,0.5049,xyguassian,pair,1,0.6,1
0.6,0.4995,xyguassian,pair,1,0.6,1
0.7000000000000001,0.49995,xyguassian,pair,1,0.6,1
0.8,0.4961,xyguassian,pair,1,0.6,1
0.9,0.4982,xyguassian,pair,1,0.6,1
0.1,0.49155,xyguassian,pair,1,0.4,2
0.2,0.4956,xyguassian,pair,1,0.4,2
0.30000000000000004,0.494,xyguassian,pair,1,0.4,2
0.4,0.4955,xyguassian,pair,1,0.4,2
0.5,0.4964,xyguassian,pair,1,0.4,2
0.6,0.5045,xyguassian,pair,1,0.4,2
0.7000000000000001,0.506,xyguassian,pair,1,0.4,2
0.8,0.5044,xyguassian,pair,1,0.4,2
0.9,0.50845,xyguassian,pair,1,0.4,2
0.1,0.49155,xyguassian,pair,1,0.6,2
0.2,0.4956,xyguassian,pair,1,0.6,2
0.30000000000000004,0.494,xyguassian,pair,1,0.6,2
0.4,0.4955,xyguassian,pair,1,0.6,2
0.5,0.5036,xyguassian,pair,1,0.6,2
0.6,0.5045,xyguassian,pair,1,0.6,2
0.7000000000000001,0.506,xyguassian,pair,1,0.6,2
0.8,0.5044,xyguassian,pair,1,0.6,2
0.9,0.50845,xyguassian,pair,1,0.6,2
0.1,0.5019,xyguassian,pair,1,0.4,3
0.2,0.5064,xyguassian,pair,1,0.4,3
0.30000000000000004,0.50385,xyguassian,pair,1,0.4,3
0.4,0.50125,xyguassian,pair,1,0.4,3
0.5,0.50615,xyguassian,pair,1,0.4,3
0.6,0.49875,xyguassian,pair,1,0.4,3
0.7000000000000001,0.49615,xyguassian,pair,1,0.4,3
0.8,0.4936,xyguassian,pair,1,0.4,3
0.9,0.4981,xyguassian,pair,1,0.4,3
0.1,0.5019,xyguassian,pair,1,0.6,3
0.2,0.5064,xyguassian,pair,1,0.6,3
0.30000000000000004,0.50385,xyguassian,pair,1,0.6,3
0.4,0.50125,xyguassian,pair,1,0.6,3
0.5,0.49385,xyguassian,pair,1,0.6,3
0.6,0.49875,xyguassian,pair,1,0.6,3
0.7000000000000001,0.49615,xyguassian,pair,1,0.6,3
0.8,0.4936,xyguassian,pair,1,0.6,3
0.9,0.4981,xyguassian,pair,1,0.6,3
0.1,0.4978,xyguassian,pair,1,0.4,4
0.2,0.50085,xyguassian,pair,1,0.4,4
0.30000000000000004,0.5026,xyguassian,pair,1,0.4,4
0.4,0.5004,xyguassian,pair,1,0.4,4
0.5,0.495,xyguassian,pair,1,0.4,4
0.6,0.4996,xyguassian,pair,1,0.4,4
0.7000000000000001,0.4974,xyguassian,pair,1,0.4,4
0.8,0.49915,xyguassian,pair,1,0.4,4
0.9,0.5022,xyguassian,pair,1,0.4,4
0.1,0.4978,xyguassian,pair,1,0.6,4
0.2,0.50085,xyguassian,pair,1,0.6,4
0.30000000000000004,0.5026,xyguassian,pair,1,0.6,4
0.4,0.5004,xyguassian,pair,1,0.6,4
0.5,0.505,xyguassian,pair,1,0.6,4
0.6,0.4996,xyguassian,pair,1,0.6,4
0.7000000000000001,0.4974,xyguassian,pair,1,0.6,4
0.8,0.49915,xyguassian,pair,1,0.6,4
0.9,0.5022,xyguassian,pair,1,0.6,4
0.1,0.50115,xyguassian,pair,1,0.4,5
0.2,0.50065,xyguassian,pair,1,0.4,5
0.30000000000000004,0.50245,xyguassian,pair,1,0.4,5
0.4,0.4983,xyguassian,pair,1,0.4,5
0.5,0.50485,xyguassian,pair,1,0.4,5
