,output,output,output,output,output,output,output,output,output,output,output,output
noise_type,instance,instance,instance,instance,pair,pair,pair,pair,sym,sym,sym,sym
initial_noise,0.0,0.1,0.2,0.3,0.0,0.1,0.2,0.3,0.0,0.1,0.2,0.3
g241n,\makecell{0.0249$\pm$0.0052\\ p=0.0000} &,\makecell{0.0262$\pm$0.0046\\ p=0.0000} &,\makecell{0.0139$\pm$0.0058\\ p=0.0000} &,\makecell{-0.0029$\pm$0.0049\\ p=0.0000} &,\makecell{0.0164$\pm$0.0034\\ p=0.0000} &,\makecell{0.0011$\pm$0.0028\\ p=0.0000} &,\makecell{0.0055$\pm$0.0029\\ p=0.0000} &,\makecell{0.0139$\pm$0.0028\\ p=0.0000} &,\makecell{0.0164$\pm$0.0034\\ p=0.0000} &,\makecell{0.0011$\pm$0.0028\\ p=0.0000} &,\makecell{0.0055$\pm$0.0029\\ p=0.0000} &,\makecell{0.0139$\pm$0.0028\\ p=0.0000} &
iris,\makecell{0.8004$\pm$0.0233\\ p=1.0000} &,\makecell{0.7338$\pm$0.0238\\ p=1.0000} &,\makecell{0.6264$\pm$0.0225\\ p=1.0000} &,\makecell{0.5284$\pm$0.0194\\ p=1.0000} &,\makecell{0.9256$\pm$0.0316\\ p=1.0000} &,\makecell{0.7351$\pm$0.0187\\ p=1.0000} &,\makecell{0.6076$\pm$0.01\\ p=1.0000} &,\makecell{0.516$\pm$0.0151\\ p=1.0000} &,\makecell{0.8889$\pm$0.0184\\ p=1.0000} &,\makecell{0.7571$\pm$0.0175\\ p=1.0000} &,\makecell{0.6376$\pm$0.0158\\ p=1.0000} &,\makecell{0.5244$\pm$0.0185\\ p=1.0000} &
krkp,\makecell{0.0195$\pm$0.0042\\ p=0.0000} &,\makecell{0.0111$\pm$0.0069\\ p=0.0000} &,\makecell{0.0174$\pm$0.0062\\ p=0.0000} &,\makecell{0.0221$\pm$0.0063\\ p=0.0000} &,\makecell{0.0034$\pm$0.0041\\ p=0.0000} &,\makecell{0.0154$\pm$0.0032\\ p=0.0000} &,\makecell{0.0162$\pm$0.0021\\ p=0.0000} &,\makecell{0.0119$\pm$0.006\\ p=0.0000} &,\makecell{0.0034$\pm$0.0041\\ p=0.0000} &,\makecell{0.0154$\pm$0.0032\\ p=0.0000} &,\makecell{0.0162$\pm$0.0021\\ p=0.0000} &,\makecell{0.0119$\pm$0.006\\ p=0.0000} &
letter,\makecell{0.2038$\pm$0.0008\\ p=1.0000} &,\makecell{0.1927$\pm$0.001\\ p=1.0000} &,\makecell{0.1744$\pm$0.0012\\ p=1.0000} &,\makecell{0.1563$\pm$0.0009\\ p=1.0000} &,\makecell{0.2241$\pm$0.0011\\ p=1.0000} &,\makecell{0.2019$\pm$0.0008\\ p=1.0000} &,\makecell{0.1807$\pm$0.0009\\ p=1.0000} &,\makecell{0.1606$\pm$0.0007\\ p=1.0000} &,\makecell{0.225$\pm$0.0012\\ p=1.0000} &,\makecell{0.2015$\pm$0.0011\\ p=1.0000} &,\makecell{0.1804$\pm$0.001\\ p=1.0000} &,\makecell{0.1563$\pm$0.0006\\ p=1.0000} &
mushroom,\makecell{0.5732$\pm$0.0019\\ p=1.0000} &,\makecell{0.508$\pm$0.0026\\ p=1.0000} &,\makecell{0.4066$\pm$0.0044\\ p=1.0000} &,\makecell{0.2739$\pm$0.0036\\ p=1.0000} &,\makecell{0.6728$\pm$0.0012\\ p=1.0000} &,\makecell{0.5489$\pm$0.0014\\ p=1.0000} &,\makecell{0.4116$\pm$0.0014\\ p=1.0000} &,\makecell{0.2701$\pm$0.0032\\ p=1.0000} &,\makecell{0.6728$\pm$0.0012\\ p=1.0000} &,\makecell{0.5489$\pm$0.0014\\ p=1.0000} &,\makecell{0.4116$\pm$0.0014\\ p=1.0000} &,\makecell{0.2701$\pm$0.0032\\ p=1.0000} &
secstr,\makecell{0.0362$\pm$0.0012\\ p=0.0000} &,\makecell{0.0343$\pm$0.0012\\ p=0.0000} &,\makecell{0.0293$\pm$0.001\\ p=0.0000} &,\makecell{0.0201$\pm$0.001\\ p=0.0000} &,\makecell{0.0398$\pm$0.001\\ p=0.0000} &,\makecell{0.0325$\pm$0.001\\ p=0.0000} &,\makecell{0.0264$\pm$0.0009\\ p=0.0000} &,\makecell{0.0176$\pm$0.001\\ p=0.0000} &,\makecell{0.0398$\pm$0.001\\ p=0.0000} &,\makecell{0.0325$\pm$0.001\\ p=0.0000} &,\makecell{0.0264$\pm$0.0009\\ p=0.0000} &,\makecell{0.0176$\pm$0.001\\ p=0.0000} &
segment,\makecell{0.457$\pm$0.0193\\ p=1.0000} &,\makecell{0.4083$\pm$0.0159\\ p=1.0000} &,\makecell{0.3741$\pm$0.0083\\ p=1.0000} &,\makecell{0.329$\pm$0.0109\\ p=1.0000} &,\makecell{0.4843$\pm$0.0119\\ p=1.0000} &,\makecell{0.4108$\pm$0.0121\\ p=1.0000} &,\makecell{0.3706$\pm$0.0085\\ p=1.0000} &,\makecell{0.3154$\pm$0.0131\\ p=1.0000} &,\makecell{0.4808$\pm$0.0113\\ p=1.0000} &,\makecell{0.4563$\pm$0.0095\\ p=1.0000} &,\makecell{0.3922$\pm$0.0088\\ p=1.0000} &,\makecell{0.3003$\pm$0.0107\\ p=1.0000} &
sonar,\makecell{0.058$\pm$0.0106\\ p=0.0021} &,\makecell{0.0497$\pm$0.0132\\ p=0.0026} &,\makecell{0.0413$\pm$0.0116\\ p=0.0005} &,\makecell{0.092$\pm$0.0058\\ p=0.1008} &,\makecell{0.0697$\pm$0.0144\\ p=0.0344} &,\makecell{0.0471$\pm$0.0123\\ p=0.0013} &,\makecell{0.0093$\pm$0.0135\\ p=0.0001} &,\makecell{0.0446$\pm$0.0109\\ p=0.0005} &,\makecell{0.0638$\pm$0.0158\\ p=0.0253} &,\makecell{0.0471$\pm$0.0123\\ p=0.0013} &,\makecell{0.0093$\pm$0.0135\\ p=0.0001} &,\makecell{0.0446$\pm$0.0109\\ p=0.0005} &
splice,\makecell{0.0237$\pm$0.0039\\ p=0.0000} &,\makecell{0.0264$\pm$0.0052\\ p=0.0000} &,\makecell{0.0308$\pm$0.004\\ p=0.0000} &,\makecell{0.037$\pm$0.0062\\ p=0.0000} &,\makecell{0.0502$\pm$0.0051\\ p=0.0000} &,\makecell{0.0476$\pm$0.0026\\ p=0.0000} &,\makecell{0.0414$\pm$0.006\\ p=0.0000} &,\makecell{0.0417$\pm$0.0055\\ p=0.0000} &,\makecell{0.0526$\pm$0.0028\\ p=0.0000} &,\makecell{0.0432$\pm$0.0047\\ p=0.0000} &,\makecell{0.051$\pm$0.0063\\ p=0.0000} &,\makecell{0.0304$\pm$0.0036\\ p=0.0000} &
usps,\makecell{0.2826$\pm$0.0035\\ p=1.0000} &,\makecell{0.2414$\pm$0.0049\\ p=1.0000} &,\makecell{0.1905$\pm$0.0053\\ p=1.0000} &,\makecell{0.1168$\pm$0.0082\\ p=0.9632} &,\makecell{0.3322$\pm$0.003\\ p=1.0000} &,\makecell{0.2707$\pm$0.0027\\ p=1.0000} &,\makecell{0.1892$\pm$0.0074\\ p=1.0000} &,\makecell{0.1212$\pm$0.0052\\ p=0.9981} &,\makecell{0.3322$\pm$0.003\\ p=1.0000} &,\makecell{0.2707$\pm$0.0027\\ p=1.0000} &,\makecell{0.1892$\pm$0.0074\\ p=1.0000} &,\makecell{0.1212$\pm$0.0052\\ p=0.9981} &
vowel,\makecell{0.0999$\pm$0.0038\\ p=0.4932} &,\makecell{0.0953$\pm$0.0033\\ p=0.0978} &,\makecell{0.0918$\pm$0.0034\\ p=0.0217} &,\makecell{0.0977$\pm$0.0021\\ p=0.1500} &,\makecell{0.0984$\pm$0.0056\\ p=0.3928} &,\makecell{0.1003$\pm$0.0031\\ p=0.5374} &,\makecell{0.1114$\pm$0.0052\\ p=0.9704} &,\makecell{0.1065$\pm$0.005\\ p=0.8855} &,\makecell{0.101$\pm$0.0045\\ p=0.5881} &,\makecell{0.0976$\pm$0.005\\ p=0.3190} &,\makecell{0.0872$\pm$0.0035\\ p=0.0032} &,\makecell{0.0931$\pm$0.0045\\ p=0.0814} &
waveform,\makecell{0.2237$\pm$0.0049\\ p=1.0000} &,\makecell{0.2073$\pm$0.0038\\ p=1.0000} &,\makecell{0.1786$\pm$0.0034\\ p=1.0000} &,\makecell{0.156$\pm$0.005\\ p=1.0000} &,\makecell{0.2543$\pm$0.0051\\ p=1.0000} &,\makecell{0.246$\pm$0.0036\\ p=1.0000} &,\makecell{0.2435$\pm$0.0022\\ p=1.0000} &,\makecell{0.2414$\pm$0.0032\\ p=1.0000} &,\makecell{0.257$\pm$0.0055\\ p=1.0000} &,\makecell{0.2168$\pm$0.003\\ p=1.0000} &,\makecell{0.1879$\pm$0.0034\\ p=1.0000} &,\makecell{0.1511$\pm$0.0029\\ p=1.0000} &
wdbc,\makecell{0.5415$\pm$0.0038\\ p=1.0000} &,\makecell{0.483$\pm$0.0049\\ p=1.0000} &,\makecell{0.3955$\pm$0.0054\\ p=1.0000} &,\makecell{0.261$\pm$0.0089\\ p=1.0000} &,\makecell{0.6758$\pm$0.0045\\ p=1.0000} &,\makecell{0.5404$\pm$0.0064\\ p=1.0000} &,\makecell{0.3803$\pm$0.0063\\ p=1.0000} &,\makecell{0.2648$\pm$0.0069\\ p=1.0000} &,\makecell{0.6758$\pm$0.0045\\ p=1.0000} &,\makecell{0.5404$\pm$0.0064\\ p=1.0000} &,\makecell{0.3803$\pm$0.0063\\ p=1.0000} &,\makecell{0.2648$\pm$0.0069\\ p=1.0000} &
xyguassian,\makecell{-0.0005$\pm$0.0015\\ p=0.0000} &,\makecell{-0.0047$\pm$0.0028\\ p=0.0000} &,\makecell{-0.0004$\pm$0.0028\\ p=0.0000} &,\makecell{-0.0013$\pm$0.0023\\ p=0.0000} &,\makecell{0.0026$\pm$0.0014\\ p=0.0000} &,\makecell{0.0019$\pm$0.0019\\ p=0.0000} &,\makecell{0.0008$\pm$0.0008\\ p=0.0000} &,\makecell{0.0032$\pm$0.0007\\ p=0.0000} &,\makecell{0.0026$\pm$0.0014\\ p=0.0000} &,\makecell{0.0019$\pm$0.0019\\ p=0.0000} &,\makecell{0.0008$\pm$0.0008\\ p=0.0000} &,\makecell{0.0032$\pm$0.0007\\ p=0.0000} &
yxguassian,\makecell{0.6111$\pm$0.002\\ p=1.0000} &,\makecell{0.5431$\pm$0.002\\ p=1.0000} &,\makecell{0.4323$\pm$0.0023\\ p=1.0000} &,\makecell{0.2934$\pm$0.0021\\ p=1.0000} &,\makecell{0.7241$\pm$0.0016\\ p=1.0000} &,\makecell{0.5895$\pm$0.0011\\ p=1.0000} &,\makecell{0.4425$\pm$0.0012\\ p=1.0000} &,\makecell{0.2925$\pm$0.0009\\ p=1.0000} &,\makecell{0.7241$\pm$0.0016\\ p=1.0000} &,\makecell{0.5894$\pm$0.0012\\ p=1.0000} &,\makecell{0.4425$\pm$0.0012\\ p=1.0000} &,\makecell{0.2924$\pm$0.0009\\ p=1.0000} &
